Vthermistor,Vreference
2.651967,4.989580
2.652076,4.989538
2.652167,4.989519
2.652259,4.989514
2.652390,4.989526
2.652521,4.989530
2.652653,4.989525
2.652928,4.989532
2.653152,4.989527
2.653431,4.989499
2.653819,4.989498
2.654195,4.989494
2.654532,4.989481
2.654845,4.989489
2.655119,4.989463
2.655402,4.989481
2.655661,4.989486
2.655896,4.989529
2.656119,4.989487
2.656331,4.989505
2.656536,4.989512
2.656730,4.989476
2.656910,4.989456
2.657084,4.989443
2.657263,4.989444
2.657412,4.989482
2.657585,4.989462
2.657721,4.989452
2.657865,4.989462
2.658013,4.989483
2.658154,4.989449
2.658293,4.989439
2.658438,4.989426
2.658564,4.989443
2.658674,4.989429
2.658778,4.989406
2.658862,4.989384
2.658994,4.989402
2.659062,4.989378
2.659168,4.989395
2.659249,4.989371
2.659352,4.989392
2.659473,4.989381
2.659572,4.989375
2.659657,4.989349
2.659757,4.989346
2.659851,4.989326
2.659904,4.989308
2.659980,4.989311
2.660059,4.989305
2.660130,4.989306
2.660218,4.989320
2.660292,4.989305
2.660359,4.989306
2.660433,4.989305
2.660502,4.989300
2.660558,4.989285
2.660640,4.989295
2.660707,4.989287
2.660762,4.989295
2.660824,4.989307
2.660884,4.989307
2.660936,4.989284
2.660997,4.989289
2.661046,4.989257
2.661093,4.989269
2.661148,4.989251
2.661210,4.989270
2.661258,4.989258
2.661300,4.989257
2.661340,4.989239
2.661372,4.989221
2.661407,4.989234
2.661427,4.989220
2.661462,4.989237
2.661489,4.989226
2.661494,4.989222
2.661492,4.989238
2.661510,4.989222
2.661564,4.989197
2.661626,4.989231
2.661639,4.989214
2.661662,4.989210
2.661706,4.989218
2.661712,4.989201
2.661772,4.989212
2.661790,4.989219
2.661822,4.989212
2.661854,4.989228
2.661861,4.989206
2.661875,4.989178
2.661909,4.989184
2.661915,4.989159
2.661926,4.989160
2.661918,4.989191
2.661973,4.989195
2.661973,4.989203
2.661974,4.989175
2.661972,4.989172
2.661972,4.989154
2.661974,4.989157
2.661945,4.989158
2.661947,4.989147
2.661947,4.989129
2.661953,4.989123
2.661936,4.989125
2.661941,4.989122
2.661933,4.989105
2.661927,4.989095
2.661912,4.989097
2.661928,4.989119
2.661914,4.989079
2.661906,4.989071
2.661874,4.989070
2.661839,4.989063
2.661828,4.989069
2.661823,4.989066
2.661830,4.989070
2.661852,4.989071
2.661839,4.989070
2.661834,4.989036
2.661834,4.989026
2.661824,4.989022
